siteName,patchName,year,SPCD,treeName,dbh,STATUSCD,PREV_TRE_CN,PREV_STATUS_CD,AGENTCD,species_name,status,mort_cause,status_before,reg,mort,living,complete,year_before,dbh_before,period_length,dbh_growth,rel_growth,trees,siteID,patchID,species,OrigYear
11_51146,11_51146_2,0,312,11_51146_2_109,22.606,1,,,,Acer macrophyllum,new,"",,TRUE,,TRUE,TRUE,,,,,,1,29,2,7,2001
11_51146,11_51146_2,0,312,11_51146_2_110,17.526,1,,,,Acer macrophyllum,new,"",,TRUE,,TRUE,TRUE,,,,,,1,29,2,7,2001
11_51146,11_51146_2,0,312,11_51146_2_112,15.24,1,,,,Acer macrophyllum,new,"",,TRUE,,TRUE,TRUE,,,,,,1,29,2,7,2001
11_51146,11_51146_2,0,312,11_51146_2_113,19.812,1,,,,Acer macrophyllum,new,"",,TRUE,,TRUE,TRUE,,,,,,1,29,2,7,2001
11_51146,11_51146_2,0,312,11_51146_2_115,19.304,1,,,,Acer macrophyllum,new,"",,TRUE,,TRUE,TRUE,,,,,,1,29,2,7,2001
11_51146,11_51146_3,0,351,11_51146_3_116,26.416,1,,,,Alnus rubra,new,"",,TRUE,,TRUE,TRUE,,,,,,1,29,3,8,2001
11_51146,11_51146_3,0,351,11_51146_3_117,20.066,1,,,,Alnus rubra,new,"",,TRUE,,TRUE,TRUE,,,,,,1,29,3,8,2001
11_51146,11_51146_3,0,351,11_51146_3_118,29.718,1,,,,Alnus rubra,new,"",,TRUE,,TRUE,TRUE,,,,,,1,29,3,8,2001
11_51146,11_51146_3,0,351,11_51146_3_119,19.304,1,,,,Alnus rubra,new,"",,TRUE,,TRUE,TRUE,,,,,,1,29,3,8,2001
11_51146,11_51146_3,0,351,11_51146_3_124,29.972,1,,,,Alnus rubra,new,"",,TRUE,,TRUE,TRUE,,,,,,1,29,3,8,2001
11_51146,11_51146_3,0,351,11_51146_3_125,30.48,1,,,,Alnus rubra,new,"",,TRUE,,TRUE,TRUE,,,,,,1,29,3,8,2001
11_57353,11_57353_1,0,202,11_57353_1_100,54.102,1,,,,Pseudotsuga menziesii,new,"",,TRUE,,TRUE,TRUE,,,,,,1,30,1,21,2002
11_57353,11_57353_1,0,202,11_57353_1_101,33.528,2,,,,Pseudotsuga menziesii,dead,"",,,,,TRUE,,,,,,,30,1,21,2002
11_57353,11_57353_1,0,202,11_57353_1_102,52.324,2,,,,Pseudotsuga menziesii,dead,"",,,,,TRUE,,,,,,,30,1,21,2002
11_57353,11_57353_1,0,202,11_57353_1_103,36.322,1,,,,Pseudotsuga menziesii,new,"",,TRUE,,TRUE,TRUE,,,,,,1,30,1,21,2002
11_57353,11_57353_1,0,202,11_57353_1_104,120.904,1,,,,Pseudotsuga menziesii,new,"",,TRUE,,TRUE,TRUE,,,,,,1,30,1,21,2002
11_57353,11_57353_1,0,202,11_57353_1_105,85.09,1,,,,Pseudotsuga menziesii,new,"",,TRUE,,TRUE,TRUE,,,,,,1,30,1,21,2002
11_57353,11_57353_1,0,202,11_57353_1_106,70.104,1,,,,Pseudotsuga menziesii,new,"",,TRUE,,TRUE,TRUE,,,,,,1,30,1,21,2002
11_57353,11_57353_1,0,202,11_57353_1_107,100.076,1,,,,Pseudotsuga menziesii,new,"",,TRUE,,TRUE,TRUE,,,,,,1,30,1,21,2002
