"Ekl","Alter","N","Hg","H100","G","Dg","Dw","V","N_aus","G_aus","Dg_aus","V_aus","iV","GWL","dGZ","Art","dDg_dt","thin_N_frac","thin_G_frac","Dg_aus_rel"
-1,25,4046,8.3,12.4,11.7,6.1,11.6,58,2801,9.1,6.4,32,12.5,120,4.8,"Buche",NA,0.409084270483423,0.4375,1.04918032786885
-1,30,2561,11.9,15.7,14.1,8.4,15.9,94,1485,7.4,8,40,15.3,197,6.6,"Buche",0.46,0.367029164607019,0.344186046511628,0.952380952380952
-1,35,1761,15.1,18.8,16.4,10.9,20.1,133,800,6.4,10.1,47,17.2,283,8.1,"Buche",0.5,0.312377977352597,0.280701754385965,0.926605504587156
-1,40,1214,18.1,21.5,18.4,13.9,24.4,174,548,5.8,11.6,51,18.4,375,9.4,"Buche",0.6,0.311010215664018,0.239669421487603,0.834532374100719
-1,45,895,20.8,24,20.1,16.9,28.7,215,319,5.3,14.5,55,19.1,471,10.5,"Buche",0.6,0.262767710049423,0.208661417322835,0.857988165680473
-1,50,697,23.2,26.2,21.5,19.8,33,255,198,4.9,17.8,57,19.5,568,11.4,"Buche",0.58,0.22122905027933,0.185606060606061,0.898989898989899
-1,55,565,25.3,28.3,22.8,22.7,37.2,295,132,4.6,21,59,19.7,666,12.1,"Buche",0.58,0.189383070301291,0.167883211678832,0.92511013215859
-1,60,470,27.3,30.1,23.9,25.5,41.4,334,94,4.3,24.1,60,19.7,765,12.7,"Buche",0.56,0.166666666666667,0.152482269503546,0.945098039215686
-1,65,399,29.2,31.8,25,28.3,45.5,371,71,4,26.8,60,19.6,863,13.3,"Buche",0.56,0.151063829787234,0.137931034482759,0.946996466431095
-1,70,342,30.8,33.4,26,31.1,49.5,408,57,3.8,29.4,61,19.4,960,13.7,"Buche",0.56,0.142857142857143,0.12751677852349,0.945337620578778
-1,75,296,32.4,34.8,26.9,34,53.5,443,46,3.6,31.6,61,19.1,1055,14.1,"Buche",0.58,0.134502923976608,0.118032786885246,0.929411764705882
