species,species_name
1,Abies amabilis
2,Abies concolor
3,Abies grandis
4,Abies lasiocarpa
5,Abies procera
6,Abies shastensis
7,Acer macrophyllum
8,Alnus rubra
9,Arbutus menziesii
10,Calocedrus decurrens
11,Chrysolepis chrysophylla var. chrysophylla
12,Juniperus occidentalis
13,Larix occidentalis
14,Lithocarpus densiflorus
15,Picea engelmannii
16,Picea sitchensis
17,Pinus contorta
18,Pinus lambertiana
19,Pinus monticola
20,Pinus ponderosa
21,Pseudotsuga menziesii
22,Quercus chrysolepis
23,Quercus garryana
24,Quercus kelloggii
25,Thuja plicata
26,Tsuga heterophylla
27,Tsuga mertensiana
28,other
