species_name,siteID,siteName,patchName,year,SPCD,treeName,dbh,STATUSCD,PREV_TRE_CN,PREV_STATUS_CD,AGENTCD,status,mort_cause,status_before,reg,mort,living,complete,year_before,dbh_before,period_length,dbh_growth,rel_growth,trees,patchID,OrigYear,species
Pinus contorta,1,1_69494,1_69494_1,0,108,1_69494_1_100,13.208,1,,,,new,,,TRUE,,TRUE,TRUE,,,,,,1,1,2002,2
Pinus contorta,1,1_69494,1_69494_1,0,108,1_69494_1_101,17.526,1,,,,new,,,TRUE,,TRUE,TRUE,,,,,,1,1,2002,2
Pinus contorta,1,1_69494,1_69494_1,0,108,1_69494_1_102,15.24,1,,,,new,,,TRUE,,TRUE,TRUE,,,,,,1,1,2002,2
Pinus contorta,1,1_69494,1_69494_1,0,108,1_69494_1_103,12.954,1,,,,new,,,TRUE,,TRUE,TRUE,,,,,,1,1,2002,2
Pinus contorta,1,1_69494,1_69494_1,0,108,1_69494_1_104,19.05,1,,,,new,,,TRUE,,TRUE,TRUE,,,,,,1,1,2002,2
Pinus contorta,1,1_69494,1_69494_1,0,108,1_69494_1_105,16.764,1,,,,new,,,TRUE,,TRUE,TRUE,,,,,,1,1,2002,2
Pinus contorta,1,1_69494,1_69494_1,0,108,1_69494_1_106,12.954,1,,,,new,,,TRUE,,TRUE,TRUE,,,,,,1,1,2002,2
Pinus contorta,1,1_69494,1_69494_1,0,108,1_69494_1_107,16.256,1,,,,new,,,TRUE,,TRUE,TRUE,,,,,,1,1,2002,2
Pinus contorta,1,1_69494,1_69494_1,0,108,1_69494_1_108,19.05,1,,,,new,,,TRUE,,TRUE,TRUE,,,,,,1,1,2002,2
Pinus contorta,1,1_69494,1_69494_1,0,108,1_69494_1_109,15.24,1,,,,new,,,TRUE,,TRUE,TRUE,,,,,,1,1,2002,2
Pinus contorta,1,1_69494,1_69494_1,0,108,1_69494_1_110,13.716,1,,,,new,,,TRUE,,TRUE,TRUE,,,,,,1,1,2002,2
Pinus contorta,1,1_69494,1_69494_1,0,108,1_69494_1_111,17.272,1,,,,new,,,TRUE,,TRUE,TRUE,,,,,,1,1,2002,2
Pinus contorta,1,1_69494,1_69494_2,0,108,1_69494_2_115,17.018,1,,,,new,,,TRUE,,TRUE,TRUE,,,,,,1,2,2002,2
Pinus contorta,1,1_69494,1_69494_2,0,108,1_69494_2_116,15.494,1,,,,new,,,TRUE,,TRUE,TRUE,,,,,,1,2,2002,2
Pinus contorta,1,1_69494,1_69494_2,0,108,1_69494_2_117,13.716,1,,,,new,,,TRUE,,TRUE,TRUE,,,,,,1,2,2002,2
Pinus contorta,1,1_69494,1_69494_2,0,108,1_69494_2_118,14.478,1,,,,new,,,TRUE,,TRUE,TRUE,,,,,,1,2,2002,2
Pinus contorta,1,1_69494,1_69494_2,0,108,1_69494_2_119,12.954,1,,,,new,,,TRUE,,TRUE,TRUE,,,,,,1,2,2002,2
Pinus contorta,1,1_69494,1_69494_2,0,108,1_69494_2_120,17.78,1,,,,new,,,TRUE,,TRUE,TRUE,,,,,,1,2,2002,2
Pinus contorta,1,1_69494,1_69494_2,0,108,1_69494_2_121,14.478,1,,,,new,,,TRUE,,TRUE,TRUE,,,,,,1,2,2002,2
Pinus contorta,1,1_69494,1_69494_2,0,108,1_69494_2_122,18.542,1,,,,new,,,TRUE,,TRUE,TRUE,,,,,,1,2,2002,2
Pinus contorta,1,1_69494,1_69494_2,0,108,1_69494_2_123,15.494,1,,,,new,,,TRUE,,TRUE,TRUE,,,,,,1,2,2002,2
