species_name,siteID,year,ba,trees,reg,dbh,growth,n_at_risk,n_died,mort,species
Pseudotsuga menziesii,1,1,0.341648784550186,0.5,0,92.837,0.0362544628367413,2,0,0,1
Pinus ponderosa,1,1,0,0,0,,,0,0,,2
Pinus contorta,1,1,0,0,0,,,0,0,,3
Abies concolor,1,1,0,0,0,,,0,0,,4
Abies grandis,1,1,0.444733354097781,2.5,16.6666666666667,45.9845833333333,0.349233903918081,6,0,0,5
Tsuga heterophylla,1,1,0,0,0,,,0,0,,6
Tsuga mertensiana,1,1,0,0,0,,,0,0,,7
Lithocarpus densiflorus,1,1,0,0,0,,,0,0,,8
Alnus rubra,1,1,0,0,0,,,0,0,,9
Abies amabilis,1,1,0,0,0,,,0,0,,10
other,1,1,0.234652433263958,0.5,0,77.089,0.0332766195476104,3,1,0.333333333333333,11
Pseudotsuga menziesii,1,2,0.35766454119576,0.5,0,94.996,0.0233431572583693,2,0,0,1
Pinus ponderosa,1,2,0,0,0,,,0,0,,2
Pinus contorta,1,2,0,0,0,,,0,0,,3
Abies concolor,1,2,0,0,0,,,0,0,,4
Abies grandis,1,2,0.554953631719766,2.75,4.16666666666667,51.1900714285714,0.194585005370317,10,0,0,5
Tsuga heterophylla,1,2,0,0,0,,,0,0,,6
Tsuga mertensiana,1,2,0,0,0,,,0,0,,7
Lithocarpus densiflorus,1,2,0,0,0,,,0,0,,8
Alnus rubra,1,2,0,0,0,,,0,0,,9
Abies amabilis,1,2,0,0,0,,,0,0,,10
other,1,2,0.233233652322485,0.5,0,76.835,-0.00355871886120995,2,0,0,11
Pseudotsuga menziesii,2,1,0.880105287519235,3.25,4.16666666666667,61.2109761904762,0.0502937994500848,13,1,0.0769230769230769,1
Pinus ponderosa,2,1,1.23636624899789,2,4.16666666666667,89.741375,0.0271633770390099,7,0,0,2
Pinus contorta,2,1,0,0,0,,,0,0,,3
Abies concolor,2,1,0,0,0,,,0,0,,4
Abies grandis,2,1,0.699139778434355,3.5,16.6666666666667,42.7482,0.178457857502386,10,0,0,5
Tsuga heterophylla,2,1,0,0,0,,,0,0,,6
Tsuga mertensiana,2,1,0,0,0,,,0,0,,7
Lithocarpus densiflorus,2,1,0,0,0,,,0,0,,8
Alnus rubra,2,1,0,0,0,,,0,0,,9
Abies amabilis,2,1,0,0,0,,,0,0,,10
other,2,1,0.0957993827668706,0.25,0,69.85,0.0299625468164793,1,0,0,11
Pseudotsuga menziesii,2,2,0.959252995754264,3.25,0,64.3874880952381,0.0593782484729478,13,0,0,1
Pinus ponderosa,2,2,1.04948493009455,1.5,0,97.0491666666667,0.0165055200414214,8,2,0.25,2
Pinus contorta,2,2,0,0,0,,,0,0,,3
Abies concolor,2,2,0,0,0,,,0,0,,4
Abies grandis,2,2,0.900021424985162,3.75,4.16666666666667,47.590075,0.171644306835781,14,0,0,5
Tsuga heterophylla,2,2,0,0,0,,,0,0,,6
Tsuga mertensiana,2,2,0,0,0,,,0,0,,7
Lithocarpus densiflorus,2,2,0,0,0,,,0,0,,8
Alnus rubra,2,2,0,0,0,,,0,0,,9
Abies amabilis,2,2,0,0,0,,,0,0,,10
other,2,2,0.100025323142544,0.25,0,71.374,0.0218181818181817,1,0,0,11
Pseudotsuga menziesii,3,1,0.0748014248330704,0.25,4.16666666666667,61.722,,0,0,,1
Pinus ponderosa,3,1,0.341409365266312,3,0,34.8085833333333,0.115823080895922,12,0,0,2
Pinus contorta,3,1,0,0,0,,,0,0,,3
Abies concolor,3,1,0,0,0,,,0,0,,4
Abies grandis,3,1,0,0,0,,,0,0,,5
Tsuga heterophylla,3,1,0,0,0,,,0,0,,6
Tsuga mertensiana,3,1,0,0,0,,,0,0,,7
Lithocarpus densiflorus,3,1,0,0,0,,,0,0,,8
Alnus rubra,3,1,0,0,0,,,0,0,,9
Abies amabilis,3,1,0,0,0,,,0,0,,10
other,3,1,0.0559468395358525,0.5,0,37.719,0.0570268899036023,2,0,0,11
Pseudotsuga menziesii,3,2,0.0867546542649803,0.5,4.16666666666667,40.259,0.0452674897119343,1,0,0,1
Pinus ponderosa,3,2,0.179414984198842,1.25,0,42.9542222222222,0.0382271383833442,5,0,0,2
Pinus contorta,3,2,0,0,0,,,0,0,,3
Abies concolor,3,2,0,0,0,,,0,0,,4
Abies grandis,3,2,0,0,0,,,0,0,,5
Tsuga heterophylla,3,2,0,0,0,,,0,0,,6
Tsuga mertensiana,3,2,0,0,0,,,0,0,,7
Lithocarpus densiflorus,3,2,0,0,0,,,0,0,,8
Alnus rubra,3,2,0,0,0,,,0,0,,9
Abies amabilis,3,2,0,0,0,,,0,0,,10
other,3,2,0.0316236137704748,0.25,0,40.132,0.025974025974026,1,0,0,11
Pseudotsuga menziesii,4,1,0,0,0,,,0,0,,1
Pinus ponderosa,4,1,0,0,0,,,0,0,,2
Pinus contorta,4,1,0.308206090929751,12.75,29.1666666666667,17.3999769230769,0.132960649708966,43,0,0,3
Abies concolor,4,1,0,0,0,,,0,0,,4
Abies grandis,4,1,0,0,0,,,0,0,,5
Tsuga heterophylla,4,1,0,0,0,,,0,0,,6
Tsuga mertensiana,4,1,0,0,0,,,0,0,,7
Lithocarpus densiflorus,4,1,0,0,0,,,0,0,,8
Alnus rubra,4,1,0,0,0,,,0,0,,9
Abies amabilis,4,1,0,0,0,,,0,0,,10
other,4,1,0,0,0,,,0,0,,11
Pseudotsuga menziesii,4,2,0,0,0,,,0,0,,1
Pinus ponderosa,4,2,0,0,0,,,0,0,,2
Pinus contorta,4,2,0.305144310987304,10.5,16.6666666666667,18.5193214285714,0.138192767306654,50,12,0.24,3
Abies concolor,4,2,0,0,0,,,0,0,,4
Abies grandis,4,2,0,0,0,,,0,0,,5
Tsuga heterophylla,4,2,0,0,0,,,0,0,,6
Tsuga mertensiana,4,2,0,0,0,,,0,0,,7
Lithocarpus densiflorus,4,2,0,0,0,,,0,0,,8
Alnus rubra,4,2,0,0,0,,,0,0,,9
Abies amabilis,4,2,0,0,0,,,0,0,,10
other,4,2,0,0,0,,,0,0,,11
Pseudotsuga menziesii,5,1,0.27281257351479,2,4.16666666666667,36.576,0.147606099944851,7,0,0,1
Pinus ponderosa,5,1,0.112508061890111,1.75,0,27.65425,0.10465626738285,6,0,0,2
Pinus contorta,5,1,0,0,0,,,0,0,,3
Abies concolor,5,1,0,0,0,,,0,0,,4
Abies grandis,5,1,0,0,0,,,0,0,,5
Tsuga heterophylla,5,1,0,0,0,,,0,0,,6
Tsuga mertensiana,5,1,0,0,0,,,0,0,,7
Lithocarpus densiflorus,5,1,0,0,0,,,0,0,,8
Alnus rubra,5,1,0,0,0,,,0,0,,9
Abies amabilis,5,1,0,0,0,,,0,0,,10
other,5,1,0,0,0,,,0,0,,11
Pseudotsuga menziesii,5,2,0.369373284269005,2,4.16666666666667,48.006,0.0941908496643351,7,0,0,1
