siteID,year,ba,dbh,trees,growth,mort,reg,species,species_name
29,1,0,,0,,,0,1,Abies amabilis
29,2,0,,0,,,0,1,Abies amabilis
30,1,0,,0,,,0,1,Abies amabilis
30,2,0,,0,,,0,1,Abies amabilis
31,1,0,,0,,,0,1,Abies amabilis
31,2,0,,0,,,0,1,Abies amabilis
32,1,0,,0,,,0,1,Abies amabilis
32,2,0,,0,,,0,1,Abies amabilis
33,1,0,,0,,,0,1,Abies amabilis
33,2,0,,0,,,0,1,Abies amabilis
34,1,0,,0,,,0,1,Abies amabilis
34,2,0,,0,,,0,1,Abies amabilis
35,1,0,,0,,,0,1,Abies amabilis
35,2,0,,0,,,0,1,Abies amabilis
36,1,0,,0,,,0,1,Abies amabilis
36,2,0,,0,,,0,1,Abies amabilis
37,1,0,,0,,,0,1,Abies amabilis
37,2,0,,0,,,0,1,Abies amabilis
38,1,0,,0,,,0,1,Abies amabilis
38,2,0,,0,,,0,1,Abies amabilis
39,1,0,,0,,,0,1,Abies amabilis
39,2,0,,0,,,0,1,Abies amabilis
40,1,0,,0,,,0,1,Abies amabilis
40,2,0,,0,,,0,1,Abies amabilis
41,1,0,,0,,,0,1,Abies amabilis
41,2,0,,0,,,0,1,Abies amabilis
42,1,0,,0,,,0,1,Abies amabilis
42,2,0,,0,,,0,1,Abies amabilis
43,1,0,,0,,,0,1,Abies amabilis
43,2,0,,0,,,0,1,Abies amabilis
44,1,0,,0,,,0,1,Abies amabilis
44,2,0,,0,,,0,1,Abies amabilis
45,1,0,,0,,,0,1,Abies amabilis
45,2,0,,0,,,0,1,Abies amabilis
46,1,0,,0,,,0,1,Abies amabilis
46,2,0,,0,,,0,1,Abies amabilis
47,1,0,,0,,,0,1,Abies amabilis
47,2,0,,0,,,0,1,Abies amabilis
48,1,0,,0,,,0,1,Abies amabilis
48,2,0,,0,,,0,1,Abies amabilis
49,1,0,,0,,,0,1,Abies amabilis
49,2,0,,0,,,0,1,Abies amabilis
50,1,0,,0,,,0,1,Abies amabilis
50,2,0,,0,,,0,1,Abies amabilis
51,1,0,,0,,,0,1,Abies amabilis
51,2,0,,0,,,0,1,Abies amabilis
52,1,0,,0,,,0,1,Abies amabilis
52,2,0,,0,,,0,1,Abies amabilis
53,1,0,,0,,,0,1,Abies amabilis
53,2,0,,0,,,0,1,Abies amabilis
54,1,0,,0,,,0,1,Abies amabilis
54,2,0,,0,,,0,1,Abies amabilis
